epoch,accuracy,loss,val_accuracy,val_loss
0,0.8801822066307068,0.29762789607048035,0.8332264423370361,0.40394461154937744
1,0.942236602306366,0.1597631275653839,0.7613855004310608,0.6581245064735413
2,0.9560338258743286,0.12044498324394226,0.7812700271606445,0.6511638164520264
3,0.9634275436401367,0.10306747257709503,0.8313021063804626,0.4437176287174225
4,0.9688407778739929,0.09189130365848541,0.788325846195221,0.5277061462402344
5,0.9698970317840576,0.08824685215950012,0.8351507186889648,0.5183871984481812
6,0.973659873008728,0.07529626041650772,0.8415651321411133,0.41965585947036743
7,0.9753102660179138,0.07388778775930405,0.8928800225257874,0.28086841106414795
8,0.9778848886489868,0.06404625624418259,0.8601667881011963,0.36309218406677246
9,0.9801954030990601,0.06156705692410469,0.8242462873458862,0.42379504442214966
10,0.9812516570091248,0.056283626705408096,0.8377164602279663,0.4011978507041931
11,0.9815157055854797,0.05571162328124046,0.8742783665657043,0.36147981882095337
12,0.9844203591346741,0.05361271649599075,0.7985888123512268,0.525761604309082
13,0.9818457961082458,0.057453665882349014,0.8864656686782837,0.3020493686199188
14,0.9837602376937866,0.0529756061732769,0.7934573292732239,0.9193907380104065
15,0.9844203591346741,0.0469915010035038,0.9063501954078674,0.2691876292228699
16,0.9843543767929077,0.049032628536224365,0.9089159965515137,0.3468503952026367
17,0.9863348007202148,0.04329223930835724,0.8043617606163025,0.6526257991790771
18,0.9833641648292542,0.05108336731791496,0.8691468834877014,0.3365618586540222
19,0.9862027764320374,0.04324440285563469,0.843489408493042,0.4699186384677887
20,0.9847504496574402,0.046200964599847794,0.7556125521659851,0.6619793772697449
21,0.983826220035553,0.0500650592148304,0.7402181029319763,0.6663420796394348
22,0.986136794090271,0.045303668826818466,0.8274534940719604,0.4410899877548218
23,0.9878531694412231,0.039689019322395325,0.8287363648414612,0.5070902705192566
24,0.986400842666626,0.04361654072999954,0.7549711465835571,0.7806715965270996
25,0.9859387278556824,0.0421481691300869,0.88005131483078,0.3029230535030365
26,0.9860047698020935,0.042701154947280884,0.9249519109725952,0.21878674626350403
27,0.9895035624504089,0.03455545753240585,0.8370750546455383,0.5086009502410889
28,0.9884473085403442,0.035061873495578766,0.9127646088600159,0.2741669714450836
29,0.9871270060539246,0.039332062005996704,0.8973701000213623,0.3457133173942566
30,0.989239513874054,0.0344044491648674,0.819756269454956,0.5849104523658752
31,0.9880512356758118,0.03653000295162201,0.8139833211898804,0.509403645992279
32,0.9893054962158203,0.03692283108830452,0.783835768699646,0.6795629858970642
33,0.9884473085403442,0.04112657904624939,0.8550353050231934,0.35923054814338684
34,0.9869289398193359,0.0381740927696228,0.7908915877342224,0.6471105217933655
35,0.9889094233512878,0.036652613431215286,0.8652982711791992,0.40552714467048645
36,0.9884473085403442,0.03638212010264397,0.8114175796508789,0.6312860250473022
37,0.9897676110267639,0.033183321356773376,0.8576010465621948,0.47914421558380127
38,0.989239513874054,0.03772052377462387,0.8794098496437073,0.37816110253334045
39,0.9908238649368286,0.033112235367298126,0.806927502155304,0.5574876666069031
40,0.9905598163604736,0.032601017504930496,0.8152661919593811,0.48050665855407715
41,0.9922761917114258,0.028736935928463936,0.8691468834877014,0.2938026487827301
