,precision,recall,f1-score,support
FAKE,1.0,0.8890180127832655,0.9412488465087665,1721.0
REAL,0.11162790697674418,1.0,0.200836820083682,24.0
accuracy,0.8905444126074499,0.8905444126074499,0.8905444126074499,0.8905444126074499
macro avg,0.5558139534883721,0.9445090063916328,0.5710428332962243,1745.0
weighted avg,0.9877817018724595,0.8905444126074499,0.9310655292398828,1745.0
